network,dataset,activation,param,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_accuracy,std_accuracy
VGG16,CIFAR10,zailu_approx,0.0,53399006.760364585,210907236.02973324,164041.23840574108,343557.92217650596,19.333333333333332,6.711335353133698
VGG16,CIFAR10,zailu_approx,0.25,22784.361025765826,120721.95799137921,6.188780889833024,18.725460030464042,10.0,0.0
VGG16,CIFAR10,zailu_approx,0.5,77361.7017829058,321715.0098368576,2.4614185774879616,0.0795068830329994,10.0,0.0
VGG16,CIFAR10,zailu_approx,1.0,70181.0924189723,304798.28287626075,2.3251051086916705,0.060170680793699305,10.0,0.0
VGG16,CIFAR10,zailu_approx,2.0,25694422.937232483,138099285.80444267,2.321102036806098,0.013414800570899093,10.0,0.0
VGG16,CIFAR10,zailu_approx,5.0,102647.24002837625,414767.5001340751,2.052058633973327,0.546883429467669,10.0,0.0
VGG16,CIFAR10,zailu_approx,1000.0,24.988364384912167,118.35053251419343,2.3037551158591163,0.003616868827766481,10.003333333333332,0.004714045207910216
