network,dataset,activation,param,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_accuracy,std_accuracy
ResNet18,CIFAR10,relu,,0.26834944517725645,0.0026345057182758326,0.3651500891364178,0.02508341474306337,88.09666666666665,0.4916186417223087
ResNet18,CIFAR10,gelu,,0.24388291298166456,0.003639176580412425,0.3615868702048391,0.027280789924607238,88.75333333333333,0.46449494674921304
ResNet18,CIFAR10,silu,,0.26856587659075337,0.002021906513085649,0.3869408475729437,0.029808688391270807,88.08999999999999,0.7560864148142491
